"days","Cat_1","Cat_2","L_Start","M_Start","H_Start","average_duration","std_duration","Activity","Var_1","Var_2"
"Sunday","(14,25]","Male",4,4,23,423.277345834892,75.7377130899717,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(14,25]","Female",0,4,23,454.675808695923,126.168171706532,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(25,44]","Male",1,22,23,533.045185552364,186.879369706966,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(25,44]","Female",0,21,23,506.004620794598,82.857121300322,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(44,64]","Male",0,22,23,481.322331349919,96.506724456235,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(44,64]","Female",0,22,23,460.986005507545,95.6278584695132,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(64,85]","Male",0,23,23,467.366874623064,66.9650083943827,"Sleeping>5Hrs","CohAge","SEX2"
"Sunday","(64,85]","Female",0,22,23,503.421929660609,163.863032639581,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(14,25]","Male",4,23,23,500.6360943344,125.002450993118,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(14,25]","Female",22,22,22,474.420917634988,29.4766662797363,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(25,44]","Male",1,23,23,413.588463608898,38.7602947623995,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(25,44]","Female",4,22,23,536.474341152333,160.925631861781,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(44,64]","Male",0,23,23,426.396339134648,64.4653985759018,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(44,64]","Female",1,22,23,496.671078234103,104.531169321786,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(64,85]","Male",0,22,22,418.196310437242,84.066611424605,"Sleeping>5Hrs","CohAge","SEX2"
"Tuesday","(64,85]","Female",4,21,23,522.888334659663,139.697403425192,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(14,25]","Male",4,4,23,538.266862488422,121.476085402527,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(14,25]","Female",1,1,21,410.071232683914,78.2618048105927,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(25,44]","Male",19,22,23,488.165287710834,101.899425707141,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(25,44]","Female",4,22,23,528.130074792334,104.548537779414,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(44,64]","Male",17,23,23,444.409535333935,101.312918727781,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(44,64]","Female",0,22,23,484.448422448197,44.5998701639397,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(64,85]","Male",4,4,23,498.973475335575,130.115767402838,"Sleeping>5Hrs","CohAge","SEX2"
"Wednesday","(64,85]","Female",0,22,22,505.021034281169,86.9723228399779,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(14,25]","Male",4,21,22,473.404285185984,84.6698534157159,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(14,25]","Female",1,22,22,515.890037559339,125.040810159091,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(25,44]","Male",0,22,23,479.301994957455,100.37409237037,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(25,44]","Female",0,22,23,459.454538636058,76.2234925147562,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(44,64]","Male",1,22,23,468.022312109692,44.8452251316223,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(44,64]","Female",0,22,23,467.536232391916,93.1079742712756,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(64,85]","Male",4,22,23,501.227239109923,111.347290161869,"Sleeping>5Hrs","CohAge","SEX2"
"Monday","(64,85]","Female",0,22,23,473.288575417308,75.0538503265164,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(14,25]","Male",1,21,22,495.278263970218,79.3165448199339,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(14,25]","Female",1,2.5,4,435,75.0000005071757,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(25,44]","Male",2,22,23,504.646558230584,74.0459481706822,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(25,44]","Female",1,22,23,452.202004012851,75.549919963804,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(44,64]","Male",18,23,23,446.326297440628,92.8299560426324,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(44,64]","Female",0,22,23,455.522354176438,61.359653025688,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(64,85]","Male",0,19,23,439.912491656128,67.4253959750897,"Sleeping>5Hrs","CohAge","SEX2"
"Thursday","(64,85]","Female",22,23,23,457.599402048506,71.4268280345981,"Sleeping>5Hrs","CohAge","SEX2"
"Friday","(14,25]","Male",4,22,22,496.929864533782,119.49599351554,"Sleeping>5Hrs","CohAge","SEX2"
"Friday","(14,25]","Female",0,21,21,574.874143273086,73.7290632038048,"Sleeping>5Hrs","CohAge","SEX2"
"Friday","(25,44]","Male",2,22,23,501.498491329282,61.7908288889776,"Sleeping>5Hrs","CohAge","SEX2"
"Friday","(25,44]","Female",4,22,23,526.402921739281,136.203972923787,"Sleeping>5Hrs","CohAge","SEX2"
