"days" "Cat_1" "Cat_2" "Var_1" "Var_2" "nTimesDay" "Probability" "Activity"
"Sunday" "(14,25]" "Male" "CohAge" "SEX2" 1.67580260550302 1 "Sleeping"
"Monday" "(14,25]" "Male" "CohAge" "SEX2" 1.66035012591243 1 "Sleeping"
"Tuesday" "(14,25]" "Male" "CohAge" "SEX2" 1.38316635041024 1 "Sleeping"
"Wednesday" "(14,25]" "Male" "CohAge" "SEX2" 1.57813137549447 1 "Sleeping"
"Thursday" "(14,25]" "Male" "CohAge" "SEX2" 1.6179141949227 1 "Sleeping"
"Friday" "(14,25]" "Male" "CohAge" "SEX2" 1.4633228720794 1 "Sleeping"
"Saturday" "(14,25]" "Male" "CohAge" "SEX2" 1.51430566458993 1 "Sleeping"
"Sunday" "(14,25]" "Female" "CohAge" "SEX2" 1.8685426274667 1 "Sleeping"
"Monday" "(14,25]" "Female" "CohAge" "SEX2" 1.68066084429233 1 "Sleeping"
"Tuesday" "(14,25]" "Female" "CohAge" "SEX2" 1.40787713263769 1 "Sleeping"
"Wednesday" "(14,25]" "Female" "CohAge" "SEX2" 1.48764276143417 1 "Sleeping"
"Thursday" "(14,25]" "Female" "CohAge" "SEX2" 2.35168116228173 1 "Sleeping"
"Friday" "(14,25]" "Female" "CohAge" "SEX2" 2.42754294611466 1 "Sleeping"
"Saturday" "(14,25]" "Female" "CohAge" "SEX2" 1.73099640424178 1 "Sleeping"
"Sunday" "(25,44]" "Male" "CohAge" "SEX2" 1.57496124552221 1 "Sleeping"
"Monday" "(25,44]" "Male" "CohAge" "SEX2" 1.59605659530403 1 "Sleeping"
"Tuesday" "(25,44]" "Male" "CohAge" "SEX2" 1.51891517447509 1 "Sleeping"
"Wednesday" "(25,44]" "Male" "CohAge" "SEX2" 1.71753225434151 1 "Sleeping"
"Thursday" "(25,44]" "Male" "CohAge" "SEX2" 1.5336497920164 1 "Sleeping"
